record_origin,display_priority,dedupe_key,poi_id,name,city,region,country,primary_source,osm_id,wikidata_id,wikipedia_title,primary_category,display_categories,themes,review_status,is_active,short_description,base_significance_score,quality_score,walk_affinity_hint,drive_affinity_hint,historical_flag,cultural_flag,scenic_flag,infrastructure_flag,food_identity_flag,lon,lat,merge_note
database,50,osm:way/697653511,7550a7e1-53b3-4c4c-9e84-6f9155d9d6f9,Historic San Isidro Catholic Church,agua-fria,new-mexico,usa,osm_overpass,way/697653511,,,culture,culture|history,,needs_review,t,Ritual or religious site with strong cultural continuity.,58.00,75.00,0.55,0.60,t,t,f,f,f,-106.01418235380834,35.65834296370143,
database,50,osm:way/653884191,bc9710a3-3fe4-49d2-b600-7e23db1b3cfa,Romero Park,agua-fria,new-mexico,usa,osm_overpass,way/653884191,,,scenic,scenic,,needs_review,t,Landscape access point with ecological or scenic value.,56.00,82.50,0.75,0.60,f,f,t,f,f,-106.02624962979593,35.65942346239115,
database,50,osm:way/981097428,01851e63-11b2-4b81-9edc-1baf27de3806,Torreon,agua-fria,new-mexico,usa,osm_overpass,way/981097428,,,civic,civic,,needs_review,t,"Infrastructure trace that reveals labor, circulation, or water systems.",64.00,70.00,0.55,0.90,f,f,f,t,f,-106.02719878561038,35.653204383704924,
database,50,osm:node/6741266509,0ff765db-5c4b-4aa4-b2ab-a582b1cd3328,?,santa-fe,new-mexico,usa,osm_overpass,node/6741266509,,,civic,civic,,needs_review,t,"Infrastructure trace that reveals labor, circulation, or water systems.",64.00,57.50,0.55,0.90,f,f,f,t,f,-106.03793,35.7211737,
database,50,osm:node/4581630883,333308cb-84d8-4dfa-9b1e-bd5698a5461d,200th Coast Artillery Marker and Eternal Flame,santa-fe,new-mexico,usa,osm_overpass,node/4581630883,,,history,history,,needs_review,t,Monument or memorial with strong public memory value.,64.00,72.50,0.55,0.60,t,f,f,f,f,-105.940884,35.6831981,
database,50,osm:node/4576042790,4b409bff-b186-4a5e-a249-371d11ea3665,3 Studios Gallery,santa-fe,new-mexico,usa,osm_overpass,node/4576042790,,,art,art,,needs_review,t,Art space with strong corridor-level cultural identity.,56.00,75.00,0.90,0.60,f,f,f,f,f,-105.9233325,35.680109,
database,50,osm:way/729362275,c660f73e-e0dd-4ab0-b6e6-4df8d85aba7e,Aaron Payne Fine Art,santa-fe,new-mexico,usa,osm_overpass,way/729362275,,,history,history,,needs_review,t,Museum or interpretive site with clear historical context.,64.00,57.50,0.75,0.75,t,f,f,f,f,-105.93458870891935,35.68858512740024,
database,50,osm:way/726571592,fb053e18-6969-4b19-98b9-674e14641eee,Academy Park Condominiums,santa-fe,new-mexico,usa,osm_overpass,way/726571592,,,culture,culture,,needs_review,t,Neighborhood corridor that expresses local identity at street level.,60.00,57.50,0.90,0.60,f,t,f,f,f,-106.03066268926591,35.636439181235886,
database,50,osm:node/10697567264,67f76e6a-b2a5-439a-93e3-b123055f6ef0,Acequia Madre,santa-fe,new-mexico,usa,osm_overpass,node/10697567264,,,civic,civic|art,,needs_review,t,"Infrastructure trace that reveals labor, circulation, or water systems.",64.00,60.00,0.55,0.90,f,f,f,t,f,-105.9299092,35.6803933,
database,50,osm:node/12162590094,3e4c3b3c-1eb5-4584-8b3d-cbc623782dc6,Acosta,santa-fe,new-mexico,usa,osm_overpass,node/12162590094,,,art,art,,needs_review,t,Art space with strong corridor-level cultural identity.,56.00,67.50,0.90,0.60,f,f,f,f,f,-105.9338799,35.6835356,
